project,commit_count
https://github.com/craftcms/cms,32
https://github.com/Combodo/iTop,32
https://github.com/vyperlang/vyper,32
https://github.com/sazanrjb/InventoryManagementSystem,32
https://github.com/wikimedia/mediawiki,32
https://github.com/GNOME/gdk-pixbuf,31
https://github.com/concretecms/concretecms,31
https://github.com/livehelperchat/livehelperchat,31
https://github.com/prasathmani/tinyfilemanager,31
https://github.com/PaddlePaddle/Paddle,31
https://github.com/docker/engine,30
https://github.com/bluez/bluez,30
https://github.com/LibreHealthIO/lh-ehr,30
https://github.com/dotCMS/core,30
https://github.com/WebAssembly/binaryen,30
https://github.com/netwide-assembler/nasm,30
https://github.com/Yeraze/ytnef,30
https://github.com/sass/libsass,30
https://github.com/netty/netty,30
https://github.com/rack/rack,30
https://github.com/apache/cxf,30
https://github.com/bigtreecms/BigTree-CMS,29
https://github.com/nothings/stb,29
https://github.com/theforeman/foreman,29
https://github.com/apache/camel,29
https://github.com/ckolivas/lrzip,29
https://github.com/openlink/virtuoso-opensource,29
https://github.com/jetty/jetty.project,29
https://github.com/dokuwiki/dokuwiki,28
https://github.com/snipe/snipe-it,28
https://github.com/blender/blender,28
https://github.com/netblue30/firejail,28
https://github.com/LibreOffice/core,28
https://github.com/michaelrsweet/htmldoc,28
https://github.com/odoo/odoo,28
https://github.com/pjsip/pjproject,28
https://github.com/GNOME/gimp,28
https://github.com/matrix-org/synapse,28
https://github.com/u-boot/u-boot,28
https://github.com/mlflow/mlflow,27
https://github.com/frappe/frappe,27
https://github.com/antirez/redis,27
https://github.com/nextcloud/desktop,27
https://github.com/apache/lucene-solr,27
https://github.com/randombit/botan,27
https://github.com/opencontainers/runc,27
https://github.com/uriparser/uriparser,27
https://github.com/ILIAS-eLearning/ILIAS,27
https://github.com/bcgit/bc-java,27
https://github.com/firefly-iii/firefly-iii,27
https://github.com/abrt/abrt,27
https://github.com/goauthentik/authentik,27
https://github.com/RIOT-OS/RIOT,27
https://github.com/langchain-ai/langchain,27
https://github.com/salesagility/SuiteCRM,27
https://github.com/espruino/Espruino,27
https://github.com/Perl/perl5,27
https://github.com/nextcloud/spreed,26
https://github.com/NLnetLabs/unbound,26
https://github.com/froxlor/froxlor,26
https://github.com/PowerDNS/pdns,26
https://github.com/libgit2/libgit2,26
https://github.com/semplon/GeniXCMS,26
https://github.com/Cisco-Talos/clamav,26
https://github.com/strongswan/strongswan,26
https://github.com/thorsten/phpMyFAQ,26
https://github.com/daylightstudio/FUEL-CMS,26
https://github.com/jgraph/drawio,26
https://github.com/horde/horde,26
https://github.com/justdan96/tsMuxer,26
https://github.com/SchedMD/slurm,26
https://github.com/shopware/platform,26
https://github.com/spacewalkproject/spacewalk,25
https://github.com/TigerVNC/tigervnc,25
https://github.com/openbsd/src,25
https://github.com/contao/contao,25
https://github.com/openvswitch/ovs,25
https://github.com/gocd/gocd,25
https://github.com/getgrav/grav,25
https://github.com/libsixel/libsixel,25
https://github.com/haproxy/haproxy,25
https://github.com/zitadel/zitadel,25
https://github.com/wagtail/wagtail,25
https://github.com/spip/SPIP,25
https://github.com/Ettercap/ettercap,24
https://github.com/proftpd/proftpd,24
https://github.com/rockcarry/ffjpeg,24
https://github.com/eProsima/Fast-DDS,24
https://github.com/baserproject/basercms,24
https://github.com/rubygems/rubygems,24
https://github.com/WWBN/AVideo,24
https://github.com/dbry/WavPack,24
https://github.com/hoene/libmysofa,23
https://github.com/directus/directus,23
https://github.com/mautic/mautic,23
https://github.com/ntp/ntp,23
https://github.com/web2py/web2py,23
https://github.com/muttmua/mutt,23
https://github.com/mybb/mybb,23
https://github.com/GStreamer/gstreamer,23
https://github.com/go-gitea/gitea,23
https://github.com/miniupnp/ngiflib,22
https://github.com/spotweb/spotweb,22
https://github.com/umbraco/Umbraco-CMS,22
https://github.com/net-snmp/net-snmp,22
https://github.com/libav/libav,22
https://github.com/redmine/redmine,22
https://github.com/dtschump/CImg,22
https://github.com/zmanda/amanda,22
https://github.com/flatpressblog/flatpress,22
https://github.com/OpenIDC/mod_auth_openidc,22
https://github.com/NavigateCMS/Navigate-CMS,22
https://github.com/libjpeg-turbo/libjpeg-turbo,21
https://github.com/WordPress/wordpress-develop,21
https://github.com/intelliants/subrion,21
https://github.com/openSUSE/open-build-service,21
