cwe_id,cve_count
CWE-79,3710
NVD-CWE-noinfo,3066
CWE-787,1512
CWE-125,1358
CWE-20,1168
CWE-119,1159
CWE-476,1094
CWE-22,889
NVD-CWE-Other,858
CWE-89,852
Total CWE Types,332
